baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000041439.15	888.240163108058	2.84652168383065	0.136779231536828	20.8110665036468	3.43615262358626e-96	6.8415396946125e-94
ENSMUSG00000000308.14	361.329586206644	6.0598637026676	0.291748976367295	20.7708139309411	7.94997244498762e-96	1.56468250776463e-93
ENSMUSG00000016028.11	379.619735222484	6.32794637354851	0.30476610969753	20.7632875578875	9.29828329486139e-96	1.80925573702172e-93
ENSMUSG00000017861.11	452.556005901708	3.31520041498874	0.15971662314134	20.7567650115854	1.0649902851895e-95	2.04896951160672e-93
ENSMUSG00000057963.9	695.100308052262	3.18476771577301	0.153730284121417	20.7165929209996	2.45451642060274e-95	4.66985385222008e-93
ENSMUSG00000030353.15	645.325629444297	2.66032941257107	0.128635010630108	20.6812235606751	5.11275183396303e-95	9.62040106076361e-93
ENSMUSG00000021678.9	343.392393794333	4.20624259014011	0.203549639407438	20.6644561119592	7.23677665780678e-95	1.34690572512636e-92
ENSMUSG00000029832.16	323.948483042427	4.89952918866944	0.237362231251665	20.6415703241122	1.16224589929066e-94	2.13990715414559e-92
ENSMUSG00000025582.4	425.163493245236	3.10231999817654	0.15035621854485	20.633133954823	1.38384446610593e-94	2.52080519075871e-92
ENSMUSG00000028179.12	528.035883141353	3.04196691906347	0.14775502035137	20.5879090390939	3.52245652168511e-94	6.34894979166464e-92
ENSMUSG00000024812.11	1850.92941934087	2.04675127309124	0.099704862239269	20.5280989023334	1.20809687141299e-93	2.15481695095881e-91
ENSMUSG00000030093.7	369.095066876128	6.51312911654313	0.318704527972895	20.4362616307009	7.96085564396362e-93	1.40529619785143e-90
ENSMUSG00000041362.17	459.812340216753	3.37755238624112	0.165309539435916	20.4316846914359	8.74327180180806e-93	1.52766370471795e-90
ENSMUSG00000071847.13	977.005139217333	2.16617012813021	0.106503506147038	20.3389560259134	5.8155193726292e-92	1.00584988098515e-89
ENSMUSG00000039457.4	325.490282435848	3.87109582765325	0.191005405072561	20.2669438918896	2.51817299966326e-91	4.3118676273234e-89
ENSMUSG00000022346.16	4844.94112019303	2.52122322761713	0.124613563498696	20.2323339196019	5.08387623276689e-91	8.61893195382846e-89
ENSMUSG00000053030.11	715.72983275593	8.1564589170132	0.403546925106216	20.2119218598094	7.68948496898059e-91	1.29085344239073e-88
ENSMUSG00000042216.13	360.357007920897	3.33703901819685	0.165903096584903	20.1143865719774	5.521787151492e-90	9.17956906747549e-88
ENSMUSG00000029154.13	732.473274811645	8.28857438222782	0.412208608745643	20.1077178068893	6.31638737698543e-90	1.03995674092424e-87
ENSMUSG00000021182.16	302.693136452771	4.02679973664436	0.200281417053388	20.1057082373796	6.57748676231147e-90	1.07263148410533e-87
ENSMUSG00000022102.13	303.757510448276	5.63407381351982	0.28059834913159	20.0787846078084	1.1312885259984e-89	1.82745787081798e-87
ENSMUSG00000028434.12	985.243896351317	2.52394876497724	0.125802586660549	20.0627732066238	1.56128999480582e-89	2.49850173654767e-87
ENSMUSG00000029449.11	351.206257851599	3.83798073103617	0.191541151835113	20.0373689636161	2.60160897735966e-89	4.1247546777157e-87
